title,stars_rating,url,price_pounds,price_rubles
A Light in the Attic,3,a-light-in-the-attic_1000/index.html,51.77,5326.62
Tipping the Velvet,1,tipping-the-velvet_999/index.html,53.74,5529.31
Soumission,1,soumission_998/index.html,50.1,5154.79
Sharp Objects,4,sharp-objects_997/index.html,47.82,4920.2
Sapiens: A Brief History of Humankind,5,sapiens-a-brief-history-of-humankind_996/index.html,54.23,5579.72
The Requiem Red,1,the-requiem-red_995/index.html,22.65,2330.46
The Dirty Little Secrets of Getting Your Dream Job,4,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,3430.35
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,1844.82
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,2325.31
The Black Maria,1,the-black-maria_991/index.html,52.15,5365.71
"Starving Hearts (Triangular Trade Trilogy, #1)",2,starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,1439.43
Shakespeare's Sonnets,4,shakespeares-sonnets_989/index.html,20.66,2125.71
Set Me Free,5,set-me-free_988/index.html,17.46,1796.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,5380.12
Rip it Up and Start Again,5,rip-it-up-and-start-again_986/index.html,35.02,3603.21
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,5890.45
Olio,1,olio_984/index.html,23.88,2457.01
Mesaerion: The Best Science Fiction Stories 1800-1849,1,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,3867.64
Libertarianism for Beginners,2,libertarianism-for-beginners_982/index.html,51.33,5281.34
It's Only the Himalayas,2,its-only-the-himalayas_981/index.html,45.17,4647.54
In Her Wake,1,in-her-wake_980/index.html,12.84,1321.11
How Music Works,2,how-music-works_979/index.html,37.32,3839.85
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,3140.2
Chase Me (Paris Nights #2),5,chase-me-paris-nights-2_977/index.html,25.27,2600.03
Black Dust,5,black-dust_976/index.html,34.53,3552.79
Birdsong: A Story in Pictures,3,birdsong-a-story-in-pictures_975/index.html,54.64,5621.91
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.5,2315.02
Aladdin and His Wonderful Lamp,3,aladdin-and-his-wonderful-lamp_973/index.html,53.13,5466.55
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.3,4146.47
Wall and Piece,4,wall-and-piece_971/index.html,44.18,4545.68
The Four Agreements: A Practical Guide to Personal Freedom,5,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,1817.04
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,3194.73
The Elephant Tree,5,the-elephant-tree_968/index.html,23.82,2450.84
The Bear and the Piano,1,the-bear-and-the-piano_967/index.html,36.89,3795.61
Sophie's World,5,sophies-world_966/index.html,15.94,1640.07
Penny Maybe,3,penny-maybe_965/index.html,33.29,3425.21
Maude (1883-1993):She Grew Up with the country,2,maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,1854.08
"In a Dark, Dark Wood",1,in-a-dark-dark-wood_963/index.html,19.63,2019.73
Behind Closed Doors,4,behind-closed-doors_962/index.html,52.22,5372.92
You can't bury them all: Poems,2,you-cant-bury-them-all-poems_961/index.html,33.63,3460.19
Slow States of Collapse: Poems,3,slow-states-of-collapse-poems_960/index.html,57.31,5896.63
Reasons to Stay Alive,2,reasons-to-stay-alive_959/index.html,26.41,2717.32
Private Paris (Private #10),5,private-paris-private-10_958/index.html,47.61,4898.59
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,2377.79
Without Borders (Wanderlove #1),2,without-borders-wanderlove-1_956/index.html,45.07,4637.25
When We Collided,1,when-we-collided_955/index.html,31.77,3268.82
"We Love You, Charlie Freeman",5,we-love-you-charlie-freeman_954/index.html,50.27,5172.28
Untitled Collection: Sabbath Poems 2014,4,untitled-collection-sabbath-poems-2014_953/index.html,14.27,1468.24
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,4545.68
Unicorn Tracks,3,unicorn-tracks_951/index.html,18.78,1932.27
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,25.52,2625.75
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16.28,1675.05
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,31.12,3201.94
This One Summer,4,this-one-summer_947/index.html,19.49,2005.33
Thirst,5,thirst_946/index.html,17.27,1776.91
The Torch Is Passed: A Harding Family Story,1,the-torch-is-passed-a-harding-family-story_945/index.html,19.09,1964.17
The Secret of Dreadwillow Carse,1,the-secret-of-dreadwillow-carse_944/index.html,56.13,5775.22
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,56.41,5804.02
The Past Never Ends,4,the-past-never-ends_942/index.html,56.5,5813.28
The Natural History of Us (The Fine Art of Pretending #2),3,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,45.22,4652.69
The Nameless City (The Nameless City #1),4,the-nameless-city-the-nameless-city-1_940/index.html,38.16,3926.28
The Murder That Never Was (Forensic Instincts #5),3,the-murder-that-never-was-forensic-instincts-5_939/index.html,54.11,5567.38
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,42.96,4420.15
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,23.89,2458.04
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,16.77,1725.47
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,20.59,2118.51
The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,37.13,3820.31
The Electric Pencil: Drawings from Inside State Hospital No. 3,1,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,56.06,5768.01
The Death of Humanity: and the Case for Life,4,the-death-of-humanity-and-the-case-for-life_932/index.html,58.11,5978.94
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,49.05,5046.75
The Art Forger,3,the-art-forger_930/index.html,40.76,4193.8
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,19.73,2030.02
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,32.24,3317.17
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,41.83,4303.89
Soul Reader,2,soul-reader_926/index.html,39.58,4072.39
Security,2,security_925/index.html,39.25,4038.43
"Saga, Volume 6 (Saga (Collected Editions) #6)",3,saga-volume-6-saga-collected-editions-6_924/index.html,25.02,2574.31
"Saga, Volume 5 (Saga (Collected Editions) #5)",2,saga-volume-5-saga-collected-editions-5_923/index.html,51.04,5251.51
Reskilling America: Learning to Labor in the Twenty-First Century,2,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,19.83,2040.31
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,50.4,5185.66
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,13.61,1400.33
Princess Between Worlds (Wide-Awake Princess #5),5,princess-between-worlds-wide-awake-princess-5_919/index.html,13.34,1372.55
"Pop Gun War, Volume 1: Gift",1,pop-gun-war-volume-1-gift_918/index.html,18.97,1951.82
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",2,political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,36.28,3732.85
Patience,3,patience_916/index.html,10.16,1045.36
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,15.44,1588.62
orange: The Complete Collection 1 (orange: The Complete Collection #1),1,orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,48.41,4980.9
Online Marketing for Busy Authors: A Step-By-Step Guide,1,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,46.35,4768.95
On a Midnight Clear,3,on-a-midnight-clear_912/index.html,14.07,1447.66
Obsidian (Lux #1),2,obsidian-lux-1_911/index.html,14.86,1528.95
My Paris Kitchen: Recipes and Stories,2,my-paris-kitchen-recipes-and-stories_910/index.html,33.37,3433.44
Masks and Shadows,2,masks-and-shadows_909/index.html,56.4,5803.0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,14.02,1442.52
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",2,lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,46.91,4826.57
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,45.61,4692.81
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2,lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,19.92,2049.57
"Layered: Baking, Building, and Styling Spectacular Cakes",1,layered-baking-building-and-styling-spectacular-cakes_904/index.html,40.11,4126.92
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,53.9,5545.77
Join,5,join_902/index.html,35.67,3670.09
In the Country We Love: My Family Divided,4,in-the-country-we-love-my-family-divided_901/index.html,22.0,2263.58
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,5,immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,57.36,5901.77
